ExamID,FinalGrade,PSS_Stress,StudyID,TotalQuestions,avg_durationperquestion,avg_tbd,decision_time_efficiency,good_decision_time_efficiency,maxduration,median_tbd,minduration,num_decisions_made,question_enter_count,ratio_decisions,ratio_good_decisions,totalduration,variance_tbd
2038,0.6605504587155964,26,2016.03PA.138,109,78467.88991,18553.14534,57402.68456,104304.87805,326000.0,10000.0,13000.0,149,272,0.32747,0.55034,8553000.0,539965104.21579
2038,0.7064220183486238,17,2016.03PA.137,109,79256.88073,22497.39583,69669.35484,109354.43038,509000.0,9000.0,3000.0,124,181,0.32632,0.6371,8639000.0,993613570.22411
2038,0.7247706422018348,9,2016.03PA.148,109,71385.3211,15469.18489,60789.0625,90476.74419,308000.0,6000.0,8000.0,128,222,0.25447,0.67188,7781000.0,557643968.85619
2311,0.49074074074074076,21,2015.01.141,108,78250.0,7755.9633,60364.28571,136306.45161,356000.0,2000.0,23000.0,140,835,0.13903,0.44286,8451000.0,273762246.31637
2311,0.8240740740740741,22,2015.01.138,108,97629.62963,25104.7619,72219.17808,103372.54902,591000.0,14000.0,10000.0,146,244,0.34845,0.69863,10544000.0,1578910239.79998
2311,0.5740740740740741,28,2015.01.136,108,86574.07407,19042.76986,73622.04724,133571.42857,320000.0,4000.0,5000.0,127,321,0.25971,0.55118,9350000.0,938767554.76121
2311,0.48148148148148145,27,2015.01.132,108,90379.62963,24281.09453,76858.26772,162683.33333,284000.0,8000.0,10000.0,127,267,0.31592,0.47244,9761000.0,1436092858.6494
2311,0.6111111111111112,19,2015.01.131,108,74231.48148,18609.1954,60734.84848,109821.91781,458000.0,5000.0,10000.0,132,197,0.38596,0.55303,8017000.0,898464431.37878
2311,0.5833333333333334,22,2015.01.129,108,75555.55556,19200.0,60895.52239,114929.57746,358000.0,6000.0,8000.0,134,226,0.37222,0.52985,8160000.0,909834905.66038
2311,0.6944444444444444,25,2015.01.128,108,72555.55556,16057.37705,48975.0,87066.66667,365000.0,5000.0,3000.0,160,231,0.36952,0.5625,7836000.0,816776988.58855
2311,0.7407407407407407,17,2015.01.127,108,99842.59259,18276.27119,59247.25275,98926.6055,537000.0,6000.0,8000.0,182,190,0.42424,0.5989,10783000.0,1167612848.55112
2311,0.6388888888888888,20,2015.01.125,108,85268.51852,18491.96787,71387.5969,121171.05263,352000.0,6000.0,8000.0,129,367,0.26008,0.58915,9209000.0,804479814.63076
2311,0.7129629629629629,34,2015.01.124,108,95574.07407,17089.40397,53206.18557,92990.99099,403000.0,6000.0,7000.0,194,342,0.32441,0.57216,10322000.0,739600617.22293
2311,0.7685185185185185,19,2015.01.123,108,99388.88889,23385.62092,75591.5493,117956.04396,395000.0,11000.0,9000.0,142,303,0.31347,0.64085,10734000.0,1290547478.38
